width,date,angle,flux,error
2.8362533377347487,2010_05_13,183.7975610431475,183.79516414250764,0.8376255976668054
1.8940030112754316,2010_05_13,186.78646031511855,198.2254309999321,0.2536277571170185
1.23510131886857,2010_05_13,178.36848701765075,132.26430615558726,0.29206339806310905
1.5501123395552654,2010_05_13,189.47397953838623,162.59863267213456,0.05378471698156238
2.078306006537869,2010_05_13,179.0073506734116,125.15904297037972,0.2712063526729477
0.8116114930239314,2010_05_13,184.43677924882093,176.50097767492872,0.06755842200392577
2.367058182416774,2010_05_13,5.081964676479803,250.60512837904906,0.4880778645521704
2.289273431544265,2010_05_13,210.64163450811992,264.50157467597455,0.33793965262929315
1.4068073567788233,2010_05_13,207.95991350722412,263.6975270660402,4.178183044451703
0.7345271540982127,2010_05_13,165.52527698390813,144.95510592834162,1.7164674760144827
0.4000120114278324,2010_05_13,22.881836585659997,346.85128509650184,1712.5445828474944
3.1440381402621895,2010_05_13,352.91900652335187,200.2553279520356,0.3192546989270377
2.38062813327954,2010_05_13,186.3950052397236,202.03441720159324,0.5065995074231349
0.42490841292148634,2010_05_16,211.3471426432132,206.22416913175243,inf
0.8242207340658086,2010_05_16,187.68844776990287,151.87763495128053,inf
5.574456267265283,2010_05_16,209.45439972923674,206.65245469484796,0.6308635281204183
2.2220886440513143,2010_05_16,188.93759686057294,135.97500994919662,0.2519581005118764
0.9822053066314091,2010_05_16,180.1773857475323,163.14850572955768,0.4749931527651513
0.4249084129500183,2010_05_16,3.055719665192256,213.17575513785283,inf
2.0435894568033985,2010_05_16,179.60975614319736,173.63433403360162,0.429710190861573
3.0755722445331504,2010_05_16,178.68757086392242,165.92246266848915,0.3387971711922474
2.301457251872255,2010_05_16,167.65982919551965,138.07641777962147,0.6024041035115552
2.1139858800204756,2010_05_16,354.84414977312326,186.6140838591655,0.7804719312672483
0.8285199920125186,2010_05_16,2.5912831887083407,211.49205005162136,0.61296712610968
1.155699254572769,2010_05_16,168.42564875448252,134.43552742659293,inf
2.812649089620196,2010_05_16,173.31503474885466,157.0389926231127,inf
1.9028814077219138,2010_05_16,148.44596264121904,243.62287519594733,0.8981578989588132
2.2726786906049803,2010_05_19,354.4131403829243,259.3566846308693,0.2521043198557945
0.4249084129239077,2010_05_19,181.1365309757123,149.2277451757943,inf
4.448966706274198,2010_05_19,175.48694283240246,146.1123873306531,0.47677069659645055
3.3197571152050758,2010_05_19,164.87877152217322,141.32233829581395,0.3380327244141109
2.341051974799074,2010_05_19,350.8998977373683,236.55834792835822,0.5383619165958202
2.05716174808687,2010_05_19,175.8764255940661,144.8192497501928,0.6750830192502583
1.4580760228959326,2010_05_19,166.8164118885808,136.00822976386922,0.4680559601759199
1.59596502384197,2010_05_19,351.2970594393928,243.1590075914776,0.38957561215794895
0.7991699781012265,2010_05_19,31.12820660104522,132.36489692054894,inf
1.0433756681083342,2010_05_19,172.05571028585925,158.11163941270866,0.5756043944521105
3.4792088822679363,2010_05_19,183.58740516736125,119.0464785758806,0.36404072409902744
1.2133599861552773,2010_05_19,359.7513527967837,153.37672210006272,0.3142256918637526
0.42490841291508974,2010_05_19,355.05641540347375,249.12289091045906,inf
2.2020768002394475,2010_05_19,352.1260618682744,251.35783099403653,0.36818380102462944
4.3077788603835865,2010_05_19,357.442583044415,181.03341610341167,0.4936811687585498
1.0386757581972004,2010_05_19,14.51025008340867,211.95033242914,0.15293174985222044
7.26153875993702,2010_05_22,205.4526515607802,245.05998393855415,0.5033731071711247
3.0917503982228394,2010_05_22,181.49155555421677,158.51735793002783,0.3582852918050893
1.6379025435626968,2010_05_22,173.48725475122959,153.4611706163733,0.24550717812067652
1.2343499046469384,2010_05_22,166.51532341136974,208.6779406271586,0.09280306314987498
0.9680962799390358,2010_05_22,357.796035961923,205.04316565327983,3.890680106038068
2.1157716250758223,2010_05_22,332.9103350922692,276.1567227697909,0.6646391026693573
6.565506791414586,2010_05_22,0.42651157211427715,205.50058079211533,0.866373227052537
0.43853639725551385,2010_05_22,4.5186506692879425,180.6825806416879,inf
4.655130233396675,2010_05_22,337.87511276656693,172.7086914907479,1.1529259669849445
1.1887332329124916,2010_05_22,174.05608172249035,164.5219979154374,inf
1.7790710598770587,2010_05_22,178.22340521740716,150.89262630471387,0.8932240253707071
1.4163485747646842,2010_05_22,359.8222841322241,194.44058287560136,0.14041317034655487
2.470774289481767,2010_05_22,187.4467260596518,124.3693875362257,0.24037180188688484
3.042095210210854,2010_05_22,206.7397328904666,217.59054350735488,0.22379610957296764
1.1393762438510493,2010_05_25,184.23245730562712,158.1109285316117,0.05478669233876259
2.253036980254309,2010_05_25,350.3565105902698,188.9251780875546,0.4094470410866946
1.1095407692509247,2010_05_25,179.2891707209288,195.5553971745151,0.19412708085015692
0.9752455746675884,2010_05_25,4.305993818576605,174.23204607472266,0.48343463323452074
1.1694192571850872,2010_05_25,357.33287010598434,176.25269273362787,0.2361558054028659
1.2582936562697433,2010_05_25,188.27077918707693,143.22720796717658,0.31518026977356367
2.9032268343394123,2010_05_25,168.9479978728973,151.5774929531209,0.26378695104132455
0.4249084129193302,2010_05_25,179.857827141643,186.06619595119622,inf
4.848513185940088,2010_05_25,336.6659587232902,153.72550744334436,0.7439393168283043
1.089069534787658,2010_05_25,16.893478022596394,231.25499981768803,0.1813450753901075
3.008064422170363,2010_05_25,334.13461271044895,125.27165061947258,0.7828129937798314
1.7603469673044148,2010_05_25,183.80462086531205,157.43898955387144,0.5648187410446649
2.6114501037308484,2010_05_25,348.40425325725204,140.0996193338588,0.5028991847364761
7.848211141849191,2010_05_25,336.04473439647694,147.7585409892232,1.9706660313863356
3.1006417321094535,2010_05_25,163.38585013032997,187.51603226767932,0.8087922128999385
1.9614020901188876,2010_05_25,349.91784561174325,180.02502026840898,0.6146288877685859
1.150554155284819,2010_05_25,0.7823890757026806,171.02613811068196,0.30363652853832257
0.7761744056760963,2010_05_25,29.175561292143065,160.95869235042701,0.05885039407376288
1.9577213383252738,2010_05_25,192.13943988201,162.53176273765126,0.46683579653442486
1.044538572342162,2010_05_28,8.069706263194949,183.1900412924651,0.0008470599592558383
2.5689871100807995,2010_05_28,181.49433359126655,204.270690938689,0.4170693848150306
