date,angle,flux
2000_01_01,275.0157667058842,136.42705837444092
2000_01_01,259.1374486952929,149.81628140008362
2000_01_01,250.7459074529954,133.36222881220672
2000_01_01,239.95226969917962,107.9327620001673
2000_01_01,40.426078740099136,93.57961785494037
2000_01_01,320.9424732455609,85.01335326408952
2000_01_01,162.66400140672204,77.66196185684183
2000_01_01,233.77076328273213,50.75984309095006
2000_01_01,257.1080432645821,151.92762192031122
2000_01_01,238.38250894989253,78.51161272663717
2000_01_01,149.8083770390424,54.893489799337864
2000_01_01,231.0541918941148,59.22710578313006
2000_01_01,266.499566596683,113.67133719819768
2000_01_01,103.60518617507653,74.83800601149086
2000_01_01,222.08916217383225,68.1162579558202
2000_01_01,253.00917670801385,143.08535195396647
2000_01_01,185.3180590240925,38.71855896664181
2000_01_01,254.55755339993044,140.30176583912214
2000_01_01,291.4929183045635,140.84757575627287
2000_01_01,111.4427983128529,72.20811577173357
2000_01_01,120.42782055072558,65.11091569376903
2000_01_01,191.16095782400254,54.5578675906794
2000_01_01,285.46742261149336,134.83705809700731
2000_01_01,354.6580056085127,57.024807187618265
2000_01_01,198.24268182812344,41.19777323220894
2000_01_01,295.8910142790935,74.57624823863037
2000_01_01,244.3205443246368,91.58867940711725
2000_01_01,339.3045492659367,74.59530365174056
2000_01_01,248.7652958657461,96.50357317181829
2000_01_01,130.03482940664216,84.59328475083231
2000_01_01,108.3881002810215,71.34159827065054
2000_01_01,177.27368900609372,48.53927922117104
2000_01_01,220.46904841819364,49.285177655322045
2000_01_01,106.51487726298282,92.03597573876638
2000_01_01,95.32823478197984,75.83876195965846
2000_01_01,211.8274465766731,57.01572636476104
2000_01_01,283.742797739157,108.9730296036796
2000_01_04,196.65555147720156,87.98092024249753
2000_01_04,130.13100302590743,67.16789383445443
2000_01_04,157.27589784825898,103.94051516210024
2000_01_04,111.4427983128529,152.01518292408255
2000_01_04,227.16107948822636,58.742582403706
2000_01_04,250.7459074529954,71.63813827102896
2000_01_04,253.15485391811166,76.68622414656538
2000_01_04,243.77599110178085,75.47736993664167
2000_01_04,165.6336308539234,70.29374205376212
